Plot Title:  20341218,,,,
#,Date Time,T (¼C),RH (%),RH (ice) (%)
11549,12/19/18 0:00,-20.167,53.306,64.41
11550,12/19/18 0:15,-20.073,53.239,64.29
11551,12/19/18 0:30,-19.839,53.167,64.06
11552,12/19/18 0:45,-19.7,53.189,63.99
11553,12/19/18 1:00,-19.469,53.389,64.04
11554,12/19/18 1:15,-19.103,53.556,63.97
11555,12/19/18 1:30,-18.787,53.797,64.01
11556,12/19/18 1:45,-18.607,53.989,64.08
11557,12/19/18 2:00,-18.385,54.242,64.19
11558,12/19/18 2:15,-18.296,54.583,64.48
11559,12/19/18 2:30,-18.12,55.02,64.80
11560,12/19/18 2:45,-18.032,55.496,65.22
11561,12/19/18 3:00,-17.988,56.153,65.85
11562,12/19/18 3:15,-18.032,56.929,66.65
11563,12/19/18 3:30,-18.076,57.702,67.45
11564,12/19/18 3:45,-18.076,58.56,68.31
11565,12/19/18 4:00,-18.032,59.423,69.14
11566,12/19/18 4:15,-18.076,60.213,69.96
11567,12/19/18 4:30,-17.944,60.953,70.62
11568,12/19/18 4:45,-17.988,61.686,71.38
11569,12/19/18 5:00,-17.944,62.247,71.91
11570,12/19/18 5:15,-17.901,62.808,72.44
11571,12/19/18 5:30,-17.988,63.264,72.96
11572,12/19/18 5:45,-18.164,63.571,73.38
11573,12/19/18 6:00,-18.252,63.764,73.63
11574,12/19/18 6:15,-18.252,63.894,73.76
11575,12/19/18 6:30,-18.385,64.13,74.08
11576,12/19/18 6:45,-18.474,64.321,74.33
11577,12/19/18 7:00,-18.697,64.487,74.64
11578,12/19/18 7:15,-18.967,64.617,74.95
11579,12/19/18 7:30,-19.103,64.565,74.98
11580,12/19/18 7:45,-19.377,64.486,75.08
11581,12/19/18 8:00,-19.654,64.407,75.18
11582,12/19/18 8:15,-19.933,64.354,75.31
11583,12/19/18 8:30,-20.12,64.318,75.40
11584,12/19/18 8:45,-20.356,64.273,75.50
11585,12/19/18 9:00,-20.547,64.314,75.67
11586,12/19/18 9:15,-20.738,64.226,75.71
11587,12/19/18 9:30,-21.028,64.015,75.68
11588,12/19/18 9:45,-21.223,63.901,75.70
11589,12/19/18 10:00,-21.469,63.828,75.78
11590,12/19/18 10:15,-21.716,63.807,75.92
11591,12/19/18 10:30,-22.016,63.75,76.06
11592,12/19/18 10:45,-22.371,63.836,76.38
11593,12/19/18 11:00,-22.833,63.825,76.67
11594,12/19/18 11:15,-23.409,63.817,77.03
11595,12/19/18 11:30,-23.781,63.873,77.33
11596,12/19/18 11:45,-24.105,63.989,77.66
11597,12/19/18 12:00,-24.433,64.13,78.01
11598,12/19/18 12:15,-24.709,64.305,78.37
11599,12/19/18 12:30,-24.932,64.439,78.64
11600,12/19/18 12:45,-25.214,64.587,78.98
11601,12/19/18 13:00,-25.441,64.744,79.28
11602,12/19/18 13:15,-25.728,64.839,79.56
11603,12/19/18 13:30,-26.019,64.908,79.82
11604,12/19/18 13:45,-26.253,64.963,80.03
11605,12/19/18 14:00,-26.49,65.067,80.29
11606,12/19/18 14:15,-26.609,65.143,80.44
11607,12/19/18 14:30,-26.669,65.307,80.64
11608,12/19/18 14:45,-26.789,65.408,80.82
11609,12/19/18 15:00,-26.91,65.459,80.95
11610,12/19/18 15:15,-27.031,65.46,81.03
11611,12/19/18 15:30,-27.214,65.424,81.11
11612,12/19/18 15:45,-27.398,65.337,81.15
11613,12/19/18 16:00,-27.646,65.213,81.18
11614,12/19/18 16:15,-27.833,65.176,81.27
11615,12/19/18 16:30,-27.959,65.126,81.30
11616,12/19/18 16:45,-28.213,64.976,81.31
